,楼盘名称,楼盘价格,楼盘位置,楼盘户型,link
0,['能建青誉府'],20500,青山区北抵和平大道，南至建港南路，东至建设二路，西...,['三居室(2)'],https://wh.fang.lianjia.com//loupan/p_njqyfbnmaw/
1,['汉口1872'],23000,解放大道汉西一路交汇处,"['三居室(9)', '四居室(2)']",https://wh.fang.lianjia.com//loupan/p_jfddztjzsgzscblmmi/
2,['招商·武汉城建未来中心'],15400,体育路招商·武汉城建未来中心,"['三居室(7)', '四居室(5)']",https://wh.fang.lianjia.com//loupan/p_zswhcjwlzxbmdki/
3,['中建锦绣双城'],7300,莲花湖大道与西环路交汇处,"['三居室(8)', '四居室(3)']",https://wh.fang.lianjia.com//loupan/p_zjjxscafsbe/
4,['临空香廷'],9000,航城东路与兴龙路交汇处,"['三居室(5)', '四居室(1)', '五居室(2)']",https://wh.fang.lianjia.com//loupan/p_lkxtafsqe/
5,['越秀汉阳星汇云锦'],25000,晴川大道越秀汉阳星汇云锦,"['三居室(4)', '四居室(3)']",https://wh.fang.lianjia.com//loupan/p_yxhyxhyjafsth/
6,['千禧城'],18000,古田三路与解放大道交汇处,['三居室(3)'],https://wh.fang.lianjia.com//loupan/p_qxcaapts/
7,['汉北玺园'],9000,汉口北大道东端南侧（汉口北大道胜海站）,"['二居室(2)', '三居室(4)']",https://wh.fang.lianjia.com//loupan/p_hbxyaaraj/
8,['佳阳翠湖里'],8400,平江大道以西（口岸联检大楼旁）,"['一居室(4)', '二居室(1)', '三居室(2)']",https://wh.fang.lianjia.com//loupan/p_jychlaarbn/
9,['中核·锦城'],6800,汉阳大道中核世纪广场对面,"['三居室(3)', '四居室(5)']",https://wh.fang.lianjia.com//loupan/p_zghjjcaartd/
10,['万博玖珑湾'],11000,甲宝山路万博玖珑湾,['三居室(2)'],https://wh.fang.lianjia.com//loupan/p_wbjlwaarxo/
11,['F天下'],30000,巨龙大道196号,"['四居室(2)', '五居室(3)']",https://wh.fang.lianjia.com//loupan/p_ftxaaryz/
12,['兴华尚都国际'],20500,汉西北路36号,"['三居室(10)', '四居室(9)']",https://wh.fang.lianjia.com//loupan/p_xhsdgjaasfm/
13,['汉水新城中法印象'],7216,汤家台特1号,"['二居室(1)', '三居室(2)']",https://wh.fang.lianjia.com//loupan/p_hsxczfyxaasxc/
14,['兰江公园里'],11000,汤云海路特1号（规划7号线汤云海站 200 米）,"['二居室(2)', '三居室(6)']",https://wh.fang.lianjia.com//loupan/p_ljgylaasyg/
15,['钰龙旭辉半岛'],15500,麒麟路与百灵路交汇处,"['三居室(5)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_ylxhbdaasyt/
16,['中建大公馆'],26770,关山大道与南湖大道交汇处,"['三居室(5)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_zjdggaaszf/
17,['泰合四千院'],40000,木兰湖风景区牌楼街与演武街交汇处西200米（木兰湖...,['八居室(1)'],https://wh.fang.lianjia.com//loupan/p_thsqyaaszi/
18,['鑫聚温莎半岛'],28000,天鹅湖大道与温莎半岛路交汇,"['四居室(3)', '五居室(1)', '七居室(1)']",https://wh.fang.lianjia.com//loupan/p_xjwsbdaatoj/
19,['华中国际广场·云邸'],14000,江岸区黄孝河路华中国际广场二期营销中心,"['一居室(2)', '二居室(2)', '三居室(2)']",https://wh.fang.lianjia.com//loupan/p_hzgjgcaaufs/
20,['百步亭长青壹号'],16500,常青花园中路573号,"['二居室(1)', '三居室(5)', '四居室(2)']",https://wh.fang.lianjia.com//loupan/p_bbtcqyhaawdl/
21,['新纪元艺墅庄园'],价格待定,武湖五七路北（农耕年华隔壁）,[],https://wh.fang.lianjia.com//loupan/p_xjyyszyaawsy/
22,['龙庭华府'],7500,汉阳大道与汉江路交汇处,"['二居室(1)', '三居室(1)']",https://wh.fang.lianjia.com//loupan/p_lthfaaxor/
23,['加州橘郡'],15000,江夏大道特77号,"['三居室(2)', '四居室(1)', '五居室(1)']",https://wh.fang.lianjia.com//loupan/p_jzjjaaxwj/
24,['加州橘郡'],650,江夏大道特77号,['五居室(1)'],https://wh.fang.lianjia.com//loupan/p_jzjjaaxwu/
25,['中建汤逊湖壹号'],45000,文化大道汤逊湖红旗岛中建汤逊湖壹号,"['三居室(1)', '四居室(9)', '五居室(1)']",https://wh.fang.lianjia.com//loupan/p_zjtxhyhaaxyy/
26,['保合太和'],14000,盘龙大道与汤仁海路交汇处,['三居室(1)'],https://wh.fang.lianjia.com//loupan/p_bhthaayup/
27,['德雅国际城'],6500,阳逻风情大道1号,"['三居室(2)', '四居室(2)', '五居室(2)']",https://wh.fang.lianjia.com//loupan/p_dygjcglwaazha/
28,['联泰外滩领馆'],9500,临江大道与建设四路交汇处,"['一居室(2)', '二居室(1)']",https://wh.fang.lianjia.com//loupan/p_ltxysaabarh/
29,['御湖园'],10500,汉口北大道新十公路特1号,"['三居室(2)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_yjgjabbcu/
30,['楚天都市沁园'],12000,洪山区烽胜路黄家湖正北岸,['三居室(5)'],https://wh.fang.lianjia.com//loupan/p_ctdsqyaacur/
31,['海尔国际广场'],14500,古田二路轻轨站口,[],https://wh.fang.lianjia.com//loupan/p_hegjgcabcsg/
32,['港湾江城二期'],12200,万家湖中路以东，沌口路以南,['三居室(6)'],https://wh.fang.lianjia.com//loupan/p_gwjceqabdam/
33,['中国健康谷'],价格待定,汉阳大道与五贤路交汇处,[],https://wh.fang.lianjia.com//loupan/p_zgjkgabdgg/
34,['滨江学府'],6700,平江西路南（客运站边）,"['居室(1)', '一居室(2)', '二居室(3)']",https://wh.fang.lianjia.com//loupan/p_dggjgcaacyg/
35,['欣隆湖滨半岛'],价格待定,余泊路8号（界埠中心小学旁）,"['三居室(7)', '四居室(1)']",https://wh.fang.lianjia.com//loupan/p_xlhbbdaacyo/
36,['金色港湾MIMI空间'],9200,东风大道与车城大道交汇处,['一居室(1)'],https://wh.fang.lianjia.com//loupan/p_jsgwmkjabebs/
37,['新阳广场'],14000,四新大道与汉城路交汇处（地铁3号线四新大道站A出口）,"['二居室(2)', '三居室(1)']",https://wh.fang.lianjia.com//loupan/p_xygcabeqj/
38,['海伦国际'],85.05-114.45,武东中路（武东中学附近）,"['二居室(1)', '三居室(3)']",https://wh.fang.lianjia.com//loupan/p_hlgjabeqz/
39,['武汉软件新城'],7000,花城大道与常家山路交汇处（花城大道9号）,[],https://wh.fang.lianjia.com//loupan/p_whrjxcabfoc/
40,['华中智谷'],16500,芙蓉路1号,[],https://wh.fang.lianjia.com//loupan/p_hzzgabfol/
41,['中国铁建1818中心'],26000,中北路109号,[],https://wh.fang.lianjia.com//loupan/p_zgtj1818zxabfrl/
42,['联投中心'],36000,临江大道387号,"['四居室(1)', '五居室(1)', '六居室(1)']",https://wh.fang.lianjia.com//loupan/p_ltzxabhfm/
43,['武汉雅居乐花园'],10000,庙山开发区庙山一路与沿湖路交汇处,"['二居室(5)', '三居室(10)', '四居室(4)']",https://wh.fang.lianjia.com//loupan/p_whyjlhyabhhf/
44,['三和名仕城'],9000,汤家台特1号,['三居室(4)'],https://wh.fang.lianjia.com//loupan/p_shmscabipy/
45,['中南熙悦'],15500,新城一路与经二路交汇（东西湖会议中心旁）,"['三居室(4)', '四居室(2)']",https://wh.fang.lianjia.com//loupan/p_znxyabirs/
